Module 1,,,,,,
The Federal Privacy Act…,,,applies to executive branch only,,,
"As of 2014, the classification system is defined by Executive Order.",,,13526,,,
"In a security classification system, a person must be assigned a Top Secret classification level to be granted access to any classified information.",,,FALSE,,,
The Federal Information Security Management Act (FISMA) requires U.S. executive branch agencies to:,,,assign security responsibility to appropriate officials in the agency,,,
Which of the following is not a category of a computer crime?,,,Trade Secret,,,
The sixth commandment is,,,Thou shalt not copy or use proprietary software for which you have not paid,,,
TEMPEST is a code word assigned by the NSA to:,,,unintended data emanations,,,
"Under the Investigation Steps, Detection and Containment...",,,limits further loss,,,
Which is the correct definition of Trademark?,,,"is a work, name, symbol or device that is used in trade with goods to indicate the source of the goods and to distinguish them from the goods of others",,,
This law's primary purpose is financial restitution.,,,Civil,,,
What type of evidence is oral testimony by witness?,,,Direct,,,
A black program:,,,isn't officially acknowledged by the DOD,,,
The NIST Special Publication (SP) that establishes a six-step risk management framework is:,,,NIST SP 800-37,,,
"The ninth Commandment is ""Think about the social consequences of the program or system you design""",,,TRUE,,,
List the correct steps in order of the evidence life cycle.,,,"Collection, Identification, Storage, Preservation, Transportation, Presentation in court, Return to victim (owner)",,,
The earliest form of electronic keying was,,,Over-The-Air Rekeying,,,
"In a security classification system, the level at which disclosure of information could cause exceptionally grave damage is:",,,Top Secret,,,
Redacting means to remove sensitive information from a document.,,,TRUE,,,
A Top Secret clearance requires a polygraph examination.,,,FALSE,,,
In order what are the Investigation Steps?,,,"Preliminary Investigation, Review Complaint, Inspect Damage, Interview Witness, Examine Logs, Identify Investigation Requirements, Disclosure Determination, Course of Action, Conducting the investigation",,,
Module 10 Quiz  ,,,,,,
The phases of a large-scale attack on an enterprise network or systems include the following except:,,,mitigation,,,
What are the general risks of an Enterprise?,,,All the answers,,,
Rules that restrict certain types of information to specific groups within a company are categorized as:,,,need to know,,,
In Physical Security Safety is not number one (top Priority).,,,FALSE,,,
An image backup:,,,is a bit-by-bit copy of one mass storage device to another,,,
"Whenever someone needs to modify an important enterprise system, the change goes through which process?",,,Change control process,,,
Which of the following is not a secondary component of CCTV?,,,Camera,,,
What are the strategies used in contingency planning in regards to data backup and restoration?,,,All of the answers,,,
An uninterruptable power system (UPS):,,,provides backup power to computing systems during a power outage,,,
What number of static charge in volts will damage the system shutdown?,,,"2,000",,,
Which of the following is not an objective of physical Security?,,,Trademark,,,
Is a report that assesses the enterprise’s ability to recover from a major disaster:,,,Business impact analysis (BIA),,,
"Physical Security should be risk based, Focused on critical intellectual property (IP), and balanced with safety.",,,TRUE,,,
Which of the following is correct about system types?,,,Static Systems are not easily moved,,,
Identify which of the following is NOT a stage of data removal.,,,Shielding,,,
Decommissioning an ex-employee’s resources may include all but:,,,issuing a company ID card,,,
Which of the following is NOT a threat to physical Security?,,,Patent,,,
Two common card typed pf badges are dumb card and smart card.,,,TRUE,,,
What are the strategies for reducing the risks of insider threats?,,,All of the answers,,,
Which is NOT a type of a motion detection system?,,,Badges,,,
